Sender,Receiver,Subject,TimeStamp,Priority,Body
meisuen@apu.com,brittney@apu.com,Hi,,,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
meisuen@apu.com,brittney@apu.com,Joke,,,Ok lar... Joking wif u oni...
meisuen@apu.com,brittney@apu.com,asdsad,,,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
meisuen@apu.com,brittney@apu.com,asdq,,,U dun say so early hor... U c already then say...
meisuen@apu.com,brittney@apu.com,asdasd,,,"Nah I don't think he goes to usf, he lives around here though"
meisuen@apu.com,brittney@apu.com,ae2,,,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
meisuen@apu.com,brittney@apu.com,dsdf,,,Even my brother is not like to speak with me. They treat me like aids patent.
meisuen@apu.com,brittney@apu.com,asdw,,,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
meisuen@apu.com,brittney@apu.com,qqa,,,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
meisuen@apu.com,brittney@apu.com,dsdf,,,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
meisuen@apu.com,brittney@apu.com,asd,,,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
meisuen@apu.com,brittney@apu.com,af,,,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
meisuen@apu.com,brittney@apu.com,asf,,,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
meisuen@apu.com,brittney@apu.com,asf,,,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
meisuen@apu.com,brittney@apu.com,asf,,,I HAVE A DATE ON SUNDAY WITH WILL!!
meisuen@apu.com,brittney@apu.com,saf,,,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
meisuen@apu.com,brittney@apu.com,asf,,,Oh k...i'm watching here:)
meisuen@apu.com,brittney@apu.com,asf,,,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
brittney@apu.com,meisuen@apu.com,saf,,,Fine if thats the way u feel. Thats the way its gota b
brittney@apu.com,meisuen@apu.com,fas,,,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
brittney@apu.com,meisuen@apu.com,fwq,,,Is that seriously how you spell his name?
brittney@apu.com,meisuen@apu.com,r,,,I‘m going to try for 2 months ha ha only joking
brittney@apu.com,meisuen@apu.com,sdf,,,So ü pay first lar... Then when is da stock comin...
brittney@apu.com,meisuen@apu.com,b,,,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
brittney@apu.com,meisuen@apu.com,fgyg,,,Ffffffffff. Alright no way I can meet up with you sooner?
brittney@apu.com,meisuen@apu.com,Joke,,,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
brittney@apu.com,meisuen@apu.com,dg,,,Lol your always so convincing.
brittney@apu.com,meisuen@apu.com,we,,,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
brittney@apu.com,meisuen@apu.com,sdf,,,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
brittney@apu.com,meisuen@apu.com,bsd,,,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
brittney@apu.com,meisuen@apu.com,s,,,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
